,eng,hindi,lexicon
1826,scorching,भीषण,negative
1827,scrambled,तले,negative
1828,scrap,रद्दी,negative
1829,scratch,खरोंच,negative
1830,scratched,खरोच,negative
1831,scratches,खरोंच,negative
1832,scream,चीखता,negative
1833,selfish,स्वार्थी,negative
1834,senseless,बेदह,negative
1835,severe,गंभीर,negative
1836,severity,गंभीरता,negative
1837,shabby,इतना,negative
1838,shady,संदेहात्मक,negative
1839,shake,शेक,negative
1840,shallow,उथला,negative
1841,sham,शैम,negative
1842,shame,शर्म,negative
1843,shameful,शर्मनाक,negative
1844,shameless,बेशर्म,negative
1845,shark,शार्क,negative
1846,shiver,का,negative
1847,shock,झटका,negative
1848,shocked,सदमे,negative
1849,shocking,दहला,negative
1850,short-lived,घुसपैठ,negative
1851,shortage,की,negative
1852,shortness,तकलीफ,negative
1853,shun,भी,negative
1854,sick,बीमार,negative
1855,sickness,सिकनेस,negative
1856,siege,अवरोध,negative
1857,silly,मूर्ख,negative
1858,sin,पाप,negative
1859,sink,सिंक,negative
1860,sinking,ऋण,negative
1861,skeletons,नर,negative
1862,skeptical,उलझन,negative
1863,skinny,दुबला,negative
1864,slack,मंदी,negative
1865,slander,बदनाम,negative
1866,slap,थप्पड़,negative
1867,slaughter,प्रचारित,negative
1868,slave,गुलाम,negative
1869,slaves,दासों,negative
1870,slime,टोडस,negative
1871,slow,धीमा,negative
1872,slower,धीमी,negative
1873,slowly,धीरे,negative
1874,slump,मज़बूती,negative
1875,slur,कलंक,negative
1876,sly,स्लाइ,negative
1877,smack,स्मैक,negative
1878,smash,स्मैश,negative
1879,smear,स्मीयर,negative
1880,smell,गंध,negative
1881,smoke,धूम्रपान,negative
1882,snare,छवि,negative
1883,sneak,चुपके,negative
1884,sneaky,डर,negative
1885,soapy,साबुनदार,negative
1886,sober,सोबर,negative
1887,sore,दुखती,negative
1888,sorrow,गम,negative
1889,sorrowful,दुखद,negative
1890,sorry,माफ़,negative
1891,sour,खट्टी,negative
1892,spank,शिकस्त,negative
1893,spews,उगलती,negative
1894,spilling,रिसाव,negative
1895,split,बंटी,negative
1896,spoiled,खराब,negative
1897,spoils,लूट,negative
1898,sporadic,छिटपुट,negative
1899,spurious,झूठा,negative
1900,squash,स्क्वैश,negative
1901,stab,वार,negative
1902,stain,दाग,negative
1903,stall,स्टाल,negative
1904,static,स्थैतिक,negative
1905,steal,कम,negative
1906,stealing,की,negative
1907,steep,खड़ी,negative
1908,stench,बदबू,negative
1909,stereotype,रूढ़िवादी,negative
1910,stereotypical,हो,negative
1911,stern,स्टर्न,negative
1912,stew,का,negative
1913,sticky,चिपचिपा,negative
1914,stiff,कठोर,negative
1915,sting,वाला,negative
1916,stink,बदबूदार,negative
1917,stole,चुरा,negative
1918,stolen,चोरी,negative
1919,stormy,तूफानी,negative
1920,strain,विकृति,negative
1921,strange,अजीब,negative
1922,stranger,अजनबी,negative
1923,strangle,गला,negative
1924,strenuous,श्रमसाध्य,negative
1925,stress,तनाव,negative
1926,strict,सख्त,negative
1927,strictly,कठोरता,negative
1928,strife,का,negative
1929,strike,हड़ताल,negative
1930,stringent,कड़े,negative
1931,struck,मारा,negative
1932,struggle,संघर्ष,negative
1933,struggled,संघर्ष,negative
1934,struggles,संघर्ष,negative
1935,struggling,संघर्ष,negative
1936,stubborn,जिद्दी,negative
1937,stuck,फंस,negative
1938,stuffy,भरी,negative
1939,stumble,टकराओ,negative
1940,stumped,अटक,negative
1941,stun,को,negative
1942,stunt,स्टंट,negative
1943,stupid,बेवकूफ,negative
1944,stupidity,मूर्खता,negative
1945,subdued,की,negative
1946,succumb,सामने,negative
1947,suck,चुसाई,negative
1948,sucked,लगभग,negative
1949,sucks,बेकार,negative
1950,sue,मुकदमा,negative
1951,suffer,पीड़ित,negative
1952,suffered,सही,negative
1953,suffering,बेहाल,negative
1954,suffers,भुगतता,negative
1955,suicide,की,negative
1956,sunk,दर्रे,negative
1957,suppression,को,negative
1958,surrender,आत्मसमर्पण,negative
1959,suspicion,अविश्वास,negative
1960,suspicious,संदिग्ध,negative
1961,swelling,सूजन,negative
1962,swipe,स्वाइप,negative
1963,swollen,सूजे,negative
1964,symptom,लक्षण,negative
1965,symptoms,लक्षण,negative
1966,syndrome,सिंड्रोम,negative
1967,tank,टैंक,negative
1968,tanks,टैंकों,negative
1969,tease,चिढ़ाओ,negative
1970,temper,गुस्सा,negative
1971,temptation,प्रलोभन,negative
1972,tenderness,मृदुता,negative
1973,tense,काल,negative
1974,tension,तनाव,negative
1975,terrible,भयानक,negative
1976,terror,आतंक,negative
1977,terrorism,आतंकवाद,negative
1978,thicker,मोटे,negative
1979,thirst,प्यास,negative
1980,threat,खतरा,negative
1981,threaten,धमकी,negative
1982,threatening,धमकानेवाला,negative
1983,threats,खतरों,negative
1984,threesome,त्रिगुट,negative
1985,throttle,थ्रॉटल,negative
1986,tired,थक,negative
1987,tiring,थका,negative
1988,toll,टोल,negative
1989,tormented,उन्हें,negative
1990,torrent,टोरेंट,negative
1991,torture,टार्चर,negative
1992,toughness,कठोरता,negative
1993,toxic,विषाक्त,negative
1994,tragic,दुखद,negative
1995,trap,जाल,negative
1996,trapped,फंस,negative
1997,trash,कचरा,negative
1998,traumatic,तंत्रीय,negative
1999,trick,उलझाए,negative
2000,tricky,खरीदना,negative
2001,trivial,खराब,negative
2002,trouble,मुसीबत,negative
2003,troubled,तंग,negative
2004,troubles,परेशानी,negative
2005,tumble,मशीन,negative
2006,tumbled,लो,negative
2007,turmoil,हंगामा,negative
2008,twist,मोड़,negative
2009,twisted,ट्विस्टेड,negative
2010,two-faced,दोहरा,negative
2011,tyranny,अत्याचार,negative
2012,ugh,ऊ,negative
2013,ugliest,बदसूरत,negative
2014,ugly,बदसूरत,negative
2015,ultimatum,अल्टीमेटम,negative
2016,unable,में,negative
2017,unavailable,अनुपलब्ध,negative
2018,unbelievable,अविश्वसनीय,negative
2019,uncomfortable,असहज,negative
2020,uncontrolled,अनियंत्रित,negative
2021,undecided,अनिश्चित,negative
2022,undefined,अपरिभाषित,negative
2023,underestimate,कम,negative
2024,undone,पूर्ववत,negative
2025,unethical,के,negative
2026,unexpected,अप्रत्याशित,negative
2027,unfavorable,प्रतिकूल,negative
2028,unforeseen,अप्रत्याशित,negative
2029,unfortunate,असहाय,negative
2030,unfortunately,दुर्भाग्य,negative
2031,unfounded,निराधार,negative
2032,unfriendly,प्रतिकूल,negative
2033,unhappy,नाखुश,negative
2034,unhealthy,अस्वास्थ्यकर,negative
2035,unknown,अज्ञात,negative
2036,unleash,से,negative
2037,unlicensed,लाइसेंसरहित,negative
2038,unlikely,संभावना,negative
2039,unlucky,अभागिन,negative
2040,unnecessary,अनावश्यक,negative
2041,unnoticed,छुप,negative
2042,unorthodox,अनआर्थोडॉक्स,negative
2043,unpleasant,अप्रिय,negative
2044,unpredictable,अप्रत्याशित,negative
2045,unreasonable,अकारण,negative
2046,unresolved,अनसुलझे,negative
2047,unrest,अशांति,negative
2048,unskilled,अकुशल,negative
2049,unstable,अस्थिर,negative
2050,unsuccessful,नाकामयाब,negative
2051,unsure,अनिश्चित,negative
2052,untimely,असामयिक,negative
2053,unusual,असामान्य,negative
2054,unusually,असाधारण,negative
2055,unwanted,गलती,negative
2056,unwell,बीमार,negative
2057,uprising,उठ,negative
2058,uproar,मचा,negative
2059,upset,परेशान,negative
2060,urgent,जरूरी,negative
2061,useless,आश्चर्यजनक,negative
2062,vain,व्यर्थ,negative
2063,vengeance,प्रतिशोध,negative
2064,vent,निकास,negative
2065,vibrating,हिल,negative
2066,vibration,स्पंदन,negative
2067,vice,वाइस,negative
2068,vicious,दुष्ट,negative
2069,violate,का,negative
2070,violation,उल्लंघन,negative
2071,violent,हिंसा,negative
2072,viper,वाइपर,negative
2073,virus,वायरस,negative
2074,volatile,वाष्पशील,negative
2075,volatility,अस्थिरता,negative
2076,vomiting,उल्टी,negative
2077,vulgar,अश्लील,negative
2078,warned,चेतावनी,negative
2079,warning,चेतावनी,negative
2080,warp,वार्प,negative
2081,waste,अपशिष्ट,negative
2082,wasted,निरर्थक,negative
2083,wasting,बर्बाद,negative
2084,weak,कमजोर,negative
2085,weakness,कमजोरी,negative
2086,weaknesses,कमजोरियां,negative
2087,wedge,वेज,negative
2088,weed,खरपतवार,negative
2089,weep,रोता,negative
2090,weird,अजीब,negative
2091,whimper,कारण,negative
2092,wicked,दुष्ट,negative
2093,wild,जंगली,negative
2094,woe,शर्म,negative
2095,worn,पहना,negative
2096,worried,चिंतित,negative
2097,worries,चिंता,negative
2098,worry,चिंता,negative
2099,worrying,चिंता,negative
2100,worse,बदतर,negative
2101,worst,सबसे,negative
2102,worthless,बेकार,negative
2103,wound,घाव,negative
2104,wounds,घाव,negative
2105,wrath,प्रकोप,negative
2106,wreck,रैल्फ,negative
2107,wrinkle,शिकन,negative
2108,wrinkles,झुर्रियों,negative
2109,wrong,गलत,negative
2110,wrongly,गलत,negative
2111,zap,ज़ैप,negative
2112,zombie,ज़ोंबी,negative
2113,even,यहां,positive
2114,pro,प्रो,positive
2115,either,या,positive
2116,much,ज्यादा,positive
2117,although,हालांकि,negative
2118,place,जगह,negative
2119,one,एक,negative
2120,tasty,स्वादिष्ट,positive
2121,makes,सबके,positive
2122,sized,हल्का,positive
