,eng,lexicon,hindi
5610,risk,negative,जोखिम
5611,risks,negative,जोखिम
5613,rival,negative,प्रतिद्वंद्वी
5616,rocky,negative,रॉकी
5617,rogue,negative,दुष्ट
5620,rotten,negative,सड़ा
5621,rough,negative,रफ
5623,rubbish,negative,बकवास
5624,rude,negative,अशिष्ट
5625,rue,negative,रुए
5628,ruin,negative,बर्बाद
5629,ruined,negative,का
5630,ruining,negative,को
5632,ruins,negative,खंडहर
5634,rumor,negative,अफ़वाह
5635,rumors,negative,अफवाहों
5636,rumours,negative,अफवाहें
5639,runaway,negative,भगोड़ा
5641,rust,negative,जंग
5645,ruthless,negative,ग़लती
5650,sack,negative,बोरी
5652,sad,negative,दुख
5653,sadden,negative,उदास
5655,sadness,negative,बदली
5658,sagging,negative,ढीली
5663,sap,negative,एसएपी
5665,sarcastic,negative,व्यंग्यात्मक
5670,satirical,negative,अपनी
5677,scam,negative,घोटाला
5678,scams,negative,धांधली
5679,scandal,negative,घोटाले
5682,scandalous,negative,सनसनीखेज
5689,scar,negative,वह
5693,scare,negative,डर
5694,scared,negative,डर
5700,scary,negative,डरावना
5703,sceptical,negative,संशयी
5710,scorching,negative,भीषण
5719,scrambled,negative,तले
5722,scrap,negative,रद्दी
5723,scratch,negative,खरोंच
5724,scratched,negative,खरोच
5725,scratches,negative,खरोंच
5727,scream,negative,चीखता
5753,selfish,negative,स्वार्थी
5759,senseless,negative,बेदह
5768,severe,negative,गंभीर
5769,severity,negative,गंभीरता
5771,shabby,negative,इतना
5773,shady,negative,संदेहात्मक
5774,shake,negative,शेक
5776,shallow,negative,उथला
5777,sham,negative,शैम
5779,shame,negative,शर्म
5780,shameful,negative,शर्मनाक
5783,shameless,negative,बेशर्म
5786,shark,negative,शार्क
5796,shiver,negative,का
5797,shock,negative,झटका
5798,shocked,negative,सदमे
5799,shocking,negative,दहला
5802,short-lived,negative,घुसपैठ
5803,shortage,negative,की
5807,shortness,negative,तकलीफ
5819,shun,negative,भी
5821,sick,negative,बीमार
5826,sickness,negative,सिकनेस
5829,siege,negative,अवरोध
5831,silly,negative,मूर्ख
5834,sin,negative,पाप
5839,sink,negative,सिंक
5840,sinking,negative,ऋण
5841,skeletons,negative,नर
5843,skeptical,negative,उलझन
5848,skinny,negative,दुबला
5852,slack,negative,मंदी
5853,slander,negative,बदनाम
5858,slap,negative,थप्पड़
5860,slaughter,negative,प्रचारित
5862,slave,negative,गुलाम
5863,slaves,negative,दासों
5865,slime,negative,टोडस
5878,slow,negative,धीमा
5881,slower,negative,धीमी
5883,slowly,negative,धीरे
5889,slump,negative,मज़बूती
5892,slur,negative,कलंक
5895,sly,negative,स्लाइ
5896,smack,negative,स्मैक
5898,smash,negative,स्मैश
5899,smear,negative,स्मीयर
5900,smell,negative,गंध
5906,smoke,negative,धूम्रपान
5929,snare,negative,छवि
5932,sneak,negative,चुपके
5934,sneaky,negative,डर
5945,soapy,negative,साबुनदार
5947,sober,negative,सोबर
5952,sore,negative,दुखती
5955,sorrow,negative,गम
5956,sorrowful,negative,दुखद
5958,sorry,negative,माफ़
5959,sour,negative,खट्टी
5962,spank,negative,शिकस्त
5967,spews,negative,उगलती
5968,spilling,negative,रिसाव
5976,split,negative,बंटी
5981,spoiled,negative,खराब
5983,spoils,negative,लूट
5992,sporadic,negative,छिटपुट
5994,spurious,negative,झूठा
6000,squash,negative,स्क्वैश
6008,stab,negative,वार
6013,stain,negative,दाग
6017,stall,negative,स्टाल
6029,static,negative,स्थैतिक
6030,steal,negative,कम
6031,stealing,negative,की
6033,steep,negative,खड़ी
6035,stench,negative,बदबू
6036,stereotype,negative,रूढ़िवादी
6037,stereotypical,negative,हो
6039,stern,negative,स्टर्न
6040,stew,negative,का
6041,sticky,negative,चिपचिपा
6042,stiff,negative,कठोर
6049,sting,negative,वाला
6053,stink,negative,बदबूदार
6056,stole,negative,चुरा
6057,stolen,negative,चोरी
6060,stormy,negative,तूफानी
6063,strain,negative,विकृति
6066,strange,negative,अजीब
6068,stranger,negative,अजनबी
6070,strangle,negative,गला
6072,strenuous,negative,श्रमसाध्य
6073,stress,negative,तनाव
6078,strict,negative,सख्त
6079,strictly,negative,कठोरता
6082,strife,negative,का
6083,strike,negative,हड़ताल
6084,stringent,negative,कड़े
6086,struck,negative,मारा
6087,struggle,negative,संघर्ष
6088,struggled,negative,संघर्ष
6089,struggles,negative,संघर्ष
6090,struggling,negative,संघर्ष
6092,stubborn,negative,जिद्दी
6095,stuck,negative,फंस
6096,stuffy,negative,भरी
6097,stumble,negative,टकराओ
6101,stumped,negative,अटक
6103,stun,negative,को
6104,stunt,negative,स्टंट
6106,stupid,negative,बेवकूफ
6108,stupidity,negative,मूर्खता
6120,subdued,negative,की
6137,succumb,negative,सामने
6138,suck,negative,चुसाई
6139,sucked,negative,लगभग
6141,sucks,negative,बेकार
6143,sue,negative,मुकदमा
6147,suffer,negative,पीड़ित
6148,suffered,negative,सही
6151,suffering,negative,बेहाल
6152,suffers,negative,भुगतता
6158,suicide,negative,की
6163,sunk,negative,दर्रे
6172,suppression,negative,को
6173,surrender,negative,आत्मसमर्पण
6176,suspicion,negative,अविश्वास
6178,suspicious,negative,संदिग्ध
6184,swelling,negative,सूजन
6186,swipe,negative,स्वाइप
6187,swollen,negative,सूजे
6188,symptom,negative,लक्षण
6189,symptoms,negative,लक्षण
6190,syndrome,negative,सिंड्रोम
6199,tank,negative,टैंक
6201,tanks,negative,टैंकों
6216,tease,negative,चिढ़ाओ
6221,temper,negative,गुस्सा
6223,temptation,negative,प्रलोभन
6224,tenderness,negative,मृदुता
6225,tense,negative,काल
6226,tension,negative,तनाव
6232,terrible,negative,भयानक
6235,terror,negative,आतंक
6237,terrorism,negative,आतंकवाद
6244,thicker,negative,मोटे
6245,thirst,negative,प्यास
6251,threat,negative,खतरा
6252,threaten,negative,धमकी
6253,threatening,negative,धमकानेवाला
6254,threats,negative,खतरों
6255,threesome,negative,त्रिगुट
6260,throttle,negative,थ्रॉटल
6273,tired,negative,थक
6275,tiring,negative,थका
6278,toll,negative,टोल
6282,tormented,negative,उन्हें
6283,torrent,negative,टोरेंट
6285,torture,negative,टार्चर
6293,toughness,negative,कठोरता
6297,toxic,negative,विषाक्त
6300,tragic,negative,दुखद
6309,trap,negative,जाल
6311,trapped,negative,फंस
6312,trash,negative,कचरा
6316,traumatic,negative,तंत्रीय
6327,trick,negative,उलझाए
6330,tricky,negative,खरीदना
6331,trivial,negative,खराब
6333,trouble,negative,मुसीबत
6334,troubled,negative,तंग
6336,troubles,negative,परेशानी
6342,tumble,negative,मशीन
6343,tumbled,negative,लो
6347,turmoil,negative,हंगामा
6348,twist,negative,मोड़
6349,twisted,negative,ट्विस्टेड
6351,two-faced,negative,दोहरा
6355,tyranny,negative,अत्याचार
6357,ugh,negative,ऊ
6359,ugliest,negative,बदसूरत
6361,ugly,negative,बदसूरत
6363,ultimatum,negative,अल्टीमेटम
6367,unable,negative,में
6378,unavailable,negative,अनुपलब्ध
6382,unbelievable,negative,अविश्वसनीय
6391,uncomfortable,negative,असहज
6399,uncontrolled,negative,अनियंत्रित
6405,undecided,negative,अनिश्चित
6406,undefined,negative,अपरिभाषित
6413,underestimate,negative,कम
6428,undone,negative,पूर्ववत
6437,unethical,negative,के
6440,unexpected,negative,अप्रत्याशित
6447,unfavorable,negative,प्रतिकूल
6451,unforeseen,negative,अप्रत्याशित
6453,unfortunate,negative,असहाय
6454,unfortunately,negative,दुर्भाग्य
6455,unfounded,negative,निराधार
6456,unfriendly,negative,प्रतिकूल
6463,unhappy,negative,नाखुश
6464,unhealthy,negative,अस्वास्थ्यकर
6482,unknown,negative,अज्ञात
6488,unleash,negative,से
6489,unlicensed,negative,लाइसेंसरहित
6490,unlikely,negative,संभावना
6491,unlucky,negative,अभागिन
6495,unnecessary,negative,अनावश्यक
6501,unnoticed,negative,छुप
6503,unorthodox,negative,अनआर्थोडॉक्स
6505,unpleasant,negative,अप्रिय
6508,unpredictable,negative,अप्रत्याशित
6523,unreasonable,negative,अकारण
6529,unresolved,negative,अनसुलझे
6531,unrest,negative,अशांति
6544,unskilled,negative,अकुशल
6550,unstable,negative,अस्थिर
6554,unsuccessful,negative,नाकामयाब
6558,unsure,negative,अनिश्चित
6565,untimely,negative,असामयिक
6574,unusual,negative,असामान्य
6575,unusually,negative,असाधारण
6577,unwanted,negative,गलती
6581,unwell,negative,बीमार
6593,uprising,negative,उठ
6594,uproar,negative,मचा
6600,upset,negative,परेशान
6605,urgent,negative,जरूरी
6606,useless,negative,आश्चर्यजनक
6613,vain,negative,व्यर्थ
6618,vengeance,negative,प्रतिशोध
6625,vent,negative,निकास
6634,vibrating,negative,हिल
6635,vibration,negative,स्पंदन
6636,vice,negative,वाइस
6637,vicious,negative,दुष्ट
6654,violate,negative,का
6655,violation,negative,उल्लंघन
6658,violent,negative,हिंसा
6660,viper,negative,वाइपर
6664,virus,negative,वायरस
6667,volatile,negative,वाष्पशील
6668,volatility,negative,अस्थिरता
6671,vomiting,negative,उल्टी
6673,vulgar,negative,अश्लील
6685,warned,negative,चेतावनी
6686,warning,negative,चेतावनी
6687,warp,negative,वार्प
6691,waste,negative,अपशिष्ट
6692,wasted,negative,निरर्थक
6695,wasting,negative,बर्बाद
6699,weak,negative,कमजोर
6703,weakness,negative,कमजोरी
6704,weaknesses,negative,कमजोरियां
6708,wedge,negative,वेज
6709,weed,negative,खरपतवार
6710,weep,negative,रोता
6711,weird,negative,अजीब
6714,whimper,negative,कारण
6721,wicked,negative,दुष्ट
6724,wild,negative,जंगली
6734,woe,negative,शर्म
6740,worn,negative,पहना
6741,worried,negative,चिंतित
6744,worries,negative,चिंता
6746,worry,negative,चिंता
6747,worrying,negative,चिंता
6749,worse,negative,बदतर
6752,worst,negative,सबसे
6753,worthless,negative,बेकार
6756,wound,negative,घाव
6757,wounds,negative,घाव
6759,wrath,negative,प्रकोप
6763,wreck,negative,रैल्फ
6770,wrinkle,negative,शिकन
6772,wrinkles,negative,झुर्रियों
6777,wrong,negative,गलत
6779,wrongly,negative,गलत
6782,zap,negative,ज़ैप
6788,zombie,negative,ज़ोंबी
